ghe_id,lay_description
10,"Broad group of infections and maternal, newborn, and nutrition-related conditions."
20,"Diseases caused by bacteria, viruses, or parasites that can spread."
30,"Bacterial infection that usually attacks the lungs, known as TB."
40,"Sexually transmitted infections other than HIV."
50,"Bacterial sexually transmitted infection that can spread through the body if untreated."
60,"Common bacterial sexually transmitted infection affecting the genitals."
70,"Bacterial sexually transmitted infection affecting the genitals, throat, or rectum."
80,"Sexually transmitted infection caused by a tiny parasite."
85,"Viral sexually transmitted infection that causes genital sores."
90,"Other sexually transmitted infections not listed separately."
100,"Infection with HIV, which weakens the immune system and can lead to AIDS."
101,"Tuberculosis that develops in people whose immune system is weakened by HIV."
102,"Other illnesses that develop because HIV has weakened the immune system."
110,"Illnesses causing diarrhoea, often from infection, which can lead to dehydration."
120,"Group of childhood infections such as measles, whooping cough, and tetanus."
130,"Contagious lung infection causing violent coughing, also called pertussis."
140,"Serious bacterial infection of the throat and airways."
150,"Highly contagious viral infection causing fever and a rash."
160,"Bacterial infection causing painful muscle stiffness, often after a wound."
170,"Inflammation of the membranes covering the brain and spinal cord."
180,"Inflammation of the brain, usually caused by an infection."
185,"Inflammation of the liver, most often caused by a virus."
186,"Liver infection from hepatitis A virus, usually spread through contaminated food or water."
190,"Liver infection from hepatitis B virus, spread through blood and body fluids."
200,"Liver infection from hepatitis C virus, mainly spread through blood."
205,"Liver infection from hepatitis E virus, usually spread through contaminated water."
210,"Diseases caused by parasites, often spread by insects or contaminated water."
220,"Disease spread by mosquito bites, causing fever and chills."
230,"Sleeping sickness, a parasitic infection spread by the tsetse fly."
240,"Parasitic infection spread by insects that can damage the heart."
250,"Parasitic worm infection caught from contaminated fresh water."
260,"Parasitic infection spread by sandfly bites, affecting skin or organs."
270,"Parasitic worm infection that can cause severe swelling of the limbs."
280,"Parasitic worm infection spread by blackflies, also called river blindness."
285,"Infection from pork tapeworm larvae, which can affect the brain."
295,"Infection from tapeworm larvae that form cysts in the body."
300,"Viral infection spread by mosquitoes, causing fever and body aches."
310,"Bacterial eye infection that can lead to blindness if untreated."
315,"Viral infection spread by mosquitoes, causing fever and jaundice."
320,"Viral infection spread through animal bites, affecting the nervous system."
330,"Infections caused by worms living in the intestines."
340,"Infection from roundworms living in the intestines."
350,"Infection from whipworms living in the large intestine."
360,"Infection from hookworms in the intestines, which can cause anaemia."
